"","X","huc12","states","name","areasqkm","areaacres"
"103354","103354","","","",NA,NA
"103355","103355","","","",NA,NA
"103356","103356","","","",NA,NA
"103357","103357","","","",NA,NA
"103358","103358","","","",NA,NA
"103359","103359","","","",NA,NA
"103360","103360","","","",NA,NA
"103361","103361","","","",NA,NA
"103362","103362","","","",NA,NA
"103363","103363","","","",NA,NA
"103364","103364","","","",NA,NA
"103365","103365","","","",NA,NA
"103366","103366","","","",NA,NA
"103367","103367","","","",NA,NA
"103368","103368","","","",NA,NA
"103369","103369","","","",NA,NA
"103370","103370","","","",NA,NA
"103371","103371","","","",NA,NA
"103372","103372","","","",NA,NA
"103373","103373","","","",NA,NA
"103374","103374","","","",NA,NA
"103375","103375","","","",NA,NA
"103376","103376","","","",NA,NA
"103377","103377","","","",NA,NA
"103378","103378","","","",NA,NA
"103379","103379","","","",NA,NA
"103380","103380","","","",NA,NA
"103381","103381","","","",NA,NA
"103382","103382","","","",NA,NA
"103383","103383","","","",NA,NA
"103384","103384","","","",NA,NA
"103385","103385","","","",NA,NA
"103386","103386","","","",NA,NA
"103387","103387","","","",NA,NA
"103388","103388","","","",NA,NA
"103389","103389","","","",NA,NA
"103390","103390","","","",NA,NA
"103391","103391","","","",NA,NA
"103392","103392","","","",NA,NA
"103393","103393","","","",NA,NA
"103394","103394","","","",NA,NA
"103395","103395","","","",NA,NA
"103396","103396","","","",NA,NA
"103397","103397","","","",NA,NA
"103398","103398","","","",NA,NA
"103399","103399","","","",NA,NA
"103400","103400","","","",NA,NA
"103401","103401","","","",NA,NA
"103402","103402","","","",NA,NA
"103403","103403","","","",NA,NA
"103404","103404","","","",NA,NA
"103405","103405","","","",NA,NA
"103406","103406","","","",NA,NA
"103407","103407","","","",NA,NA
